epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,884,884,797,0,876,0,874,874,837,837
2,853,853,843,0,918,0,824,824,830,830
3,820,820,847,0,823,0,860,860,918,918
4,860,860,835,0,874,0,804,804,895,895
5,836,836,850,0,859,0,877,877,846,846
6,839,839,848,0,814,0,887,887,880,880
7,871,871,879,0,811,0,860,860,847,847
8,895,895,884,0,863,0,824,824,802,802
9,862,862,880,0,873,0,816,816,837,837
10,847,847,853,0,856,0,837,837,875,875
11,868,868,862,0,816,0,847,847,875,875
12,880,880,783,0,858,0,875,875,872,872
13,866,866,857,0,833,0,850,850,862,862
14,845,845,867,0,852,0,812,812,892,892
15,842,842,835,0,867,0,814,814,910,910
16,834,834,857,0,848,0,839,839,890,890
17,861,861,877,0,841,0,853,853,836,836
18,887,887,840,0,845,0,836,836,860,860
19,890,890,842,0,829,0,845,845,862,862
20,846,846,867,0,859,0,830,830,866,866
21,831,831,835,0,878,0,855,855,869,869
22,853,853,826,0,919,0,814,814,856,856
23,854,854,856,0,828,0,890,890,840,840
24,815,815,923,0,873,0,852,852,805,805
25,772,772,840,0,906,0,867,867,883,883
26,845,845,854,0,871,0,871,871,827,827
27,858,858,886,0,814,0,824,824,886,886
28,857,857,831,0,901,0,869,869,810,810
29,883,883,823,0,844,0,844,844,874,874
30,881,881,868,0,841,0,838,838,840,840
