epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,863,863,839,0,860,0,824,824,882,882
2,890,890,842,0,864,0,834,834,838,838
3,856,856,874,0,815,0,866,866,857,857
4,880,880,860,0,869,0,836,836,823,823
5,879,879,877,0,832,0,823,823,857,857
6,857,857,845,0,846,0,851,851,869,869
7,876,876,825,0,842,0,865,865,860,860
8,916,916,819,0,859,0,828,828,846,846
9,852,852,903,0,851,0,853,853,809,809
10,877,877,831,0,847,0,849,849,864,864
11,819,819,846,0,873,0,860,860,870,870
12,810,810,862,0,898,0,848,848,850,850
13,894,894,829,0,840,0,877,877,828,828
14,831,831,848,0,864,0,838,838,887,887
15,892,892,842,0,812,0,880,880,842,842
16,873,873,835,0,863,0,857,857,840,840
17,829,829,876,0,860,0,864,864,839,839
18,850,850,888,0,807,0,823,823,900,900
19,811,811,869,0,870,0,842,842,876,876
20,847,847,846,0,857,0,890,890,828,828
21,867,867,800,0,878,0,889,889,834,834
22,866,866,886,0,830,0,812,812,874,874
23,859,859,868,0,872,0,843,843,826,826
24,866,866,831,0,839,0,873,873,859,859
25,882,882,866,0,835,0,836,836,849,849
26,825,825,915,0,818,0,838,838,872,872
27,843,843,855,0,850,0,834,834,886,886
28,800,800,855,0,894,0,856,856,863,863
29,822,822,871,0,833,0,873,873,869,869
30,842,842,861,0,878,0,843,843,844,844
