epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,889,889,864,0,861,0,817,817,837,837
2,846,846,899,0,840,0,831,831,852,852
3,857,857,871,0,842,0,868,868,830,830
4,830,830,826,0,847,0,875,875,890,890
5,853,853,897,0,842,0,814,814,862,862
6,837,837,886,0,819,0,864,864,862,862
7,832,832,868,0,819,0,896,896,853,853
8,847,847,833,0,881,0,848,848,859,859
9,823,823,886,0,809,0,867,867,883,883
10,881,881,851,0,834,0,845,845,857,857
11,842,842,866,0,823,0,865,865,872,872
12,837,837,909,0,826,0,874,874,822,822
13,872,872,842,0,868,0,852,852,834,834
14,905,905,843,0,848,0,859,859,813,813
15,862,862,840,0,861,0,896,896,809,809
16,850,850,874,0,839,0,861,861,844,844
17,852,852,826,0,879,0,875,875,836,836
18,816,816,906,0,879,0,832,832,835,835
19,893,893,851,0,821,0,807,807,896,896
20,847,847,864,0,880,0,812,812,865,865
21,835,835,824,0,844,0,869,869,896,896
22,819,819,859,0,843,0,896,896,851,851
23,831,831,852,0,866,0,846,846,873,873
24,846,846,848,0,835,0,887,887,852,852
25,874,874,829,0,864,0,837,837,864,864
26,892,892,857,0,842,0,826,826,851,851
27,829,829,919,0,853,0,815,815,852,852
28,883,883,854,0,806,0,858,858,867,867
29,835,835,867,0,867,0,878,878,821,821
30,868,868,842,0,802,0,879,879,877,877
