epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,862,862,828,0,854,0,888,888,836,836
2,851,851,847,0,891,0,850,850,829,829
3,854,854,883,0,827,0,848,848,856,856
4,828,828,858,0,850,0,861,861,871,871
5,854,854,846,0,826,0,854,854,888,888
6,819,819,830,0,854,0,872,872,893,893
7,883,883,851,0,836,0,834,834,864,864
8,834,834,855,0,889,0,855,855,835,835
9,845,845,875,0,860,0,878,878,810,810
10,829,829,866,0,849,0,855,855,869,869
11,861,861,881,0,823,0,860,860,843,843
12,860,860,835,0,828,0,856,856,889,889
13,846,846,863,0,871,0,833,833,855,855
14,865,865,834,0,871,0,848,848,850,850
15,854,854,888,0,802,0,849,849,875,875
16,874,874,838,0,825,0,847,847,884,884
17,849,849,810,0,891,0,844,844,874,874
18,878,878,814,0,845,0,857,857,874,874
19,819,819,870,0,844,0,836,836,899,899
20,862,862,842,0,871,0,829,829,864,864
21,877,877,831,0,893,0,821,821,846,846
22,886,886,866,0,814,0,825,825,877,877
23,803,803,880,0,845,0,908,908,832,832
24,895,895,830,0,850,0,847,847,846,846
25,934,934,827,0,795,0,843,843,869,869
26,831,831,878,0,870,0,871,871,818,818
27,878,878,848,0,847,0,847,847,848,848
28,836,836,937,0,852,0,833,833,810,810
29,829,829,815,0,924,0,852,852,848,848
30,839,839,853,0,871,0,836,836,869,869
