epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,844,844,894,0,856,0,843,843,831,831
2,833,833,870,0,866,0,852,852,847,847
3,865,865,856,0,893,0,820,820,834,834
4,882,882,833,0,837,0,866,866,850,850
5,838,838,862,0,834,0,836,836,898,898
6,888,888,827,0,860,0,871,871,822,822
7,852,852,897,0,860,0,834,834,825,825
8,854,854,837,0,877,0,850,850,850,850
9,814,814,841,0,886,0,891,891,836,836
10,878,878,838,0,854,0,876,876,822,822
11,867,867,874,0,835,0,830,830,862,862
12,863,863,829,0,866,0,870,870,840,840
13,871,871,883,0,865,0,844,844,805,805
14,859,859,838,0,811,0,893,893,867,867
15,868,868,847,0,878,0,804,804,871,871
16,822,822,849,0,847,0,863,863,887,887
17,843,843,830,0,851,0,871,871,873,873
18,827,827,858,0,852,0,859,859,872,872
19,854,854,866,0,841,0,885,885,822,822
20,856,856,819,0,914,0,850,850,829,829
21,903,903,820,0,809,0,882,882,854,854
22,856,856,872,0,866,0,845,845,829,829
23,847,847,859,0,877,0,842,842,843,843
24,860,860,855,0,853,0,854,854,846,846
25,872,872,865,0,858,0,828,828,845,845
26,849,849,845,0,832,0,864,864,878,878
27,927,927,815,0,859,0,834,834,833,833
28,843,843,846,0,846,0,870,870,863,863
29,788,788,849,0,894,0,860,860,877,877
30,866,866,848,0,832,0,902,902,820,820
