epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,775,775,867,0,878,0,857,857,891,891
2,847,847,834,0,840,0,850,850,897,897
3,891,891,893,0,851,0,840,840,793,793
4,872,872,841,0,860,0,881,881,814,814
5,870,870,837,0,877,0,872,872,812,812
6,807,807,854,0,866,0,894,894,847,847
7,855,855,868,0,857,0,822,822,866,866
8,834,834,890,0,844,0,861,861,839,839
9,885,885,837,0,843,0,843,843,860,860
10,819,819,836,0,904,0,856,856,853,853
11,898,898,837,0,863,0,842,842,828,828
12,861,861,825,0,854,0,915,915,813,813
13,865,865,843,0,864,0,849,849,847,847
14,904,904,830,0,865,0,858,858,811,811
15,818,818,886,0,873,0,882,882,809,809
16,840,840,900,0,808,0,878,878,842,842
17,835,835,847,0,861,0,840,840,885,885
18,900,900,809,0,838,0,854,854,867,867
19,855,855,830,0,850,0,844,844,889,889
20,843,843,901,0,818,0,865,865,841,841
21,820,820,854,0,910,0,852,852,832,832
22,870,870,837,0,858,0,861,861,842,842
23,917,917,840,0,820,0,835,835,856,856
24,839,839,884,0,802,0,857,857,886,886
25,854,854,819,0,846,0,879,879,870,870
26,850,850,811,0,868,0,889,889,850,850
27,843,843,861,0,831,0,880,880,853,853
28,870,870,839,0,879,0,830,830,850,850
29,897,897,831,0,872,0,857,857,811,811
30,830,830,862,0,872,0,856,856,848,848
