prob_1,prob_2,prob_3,prob_4,prob_5,y_true,y_hat,pred_class,identifier
0.015214651722322116,0.2416899164078728,0.5471190487987618,0.1870062322918582,0.008970150779185023,3,2.9326138,3,A-5058__99
0.00885942247145085,0.18584506605916812,0.5469034861935043,0.24300066490906197,0.015391360366814787,3,3.070443,3,A-5058__261
0.012479101186407673,0.2199600871956873,0.5493212103782973,0.20720528632571694,0.011034314913890722,3,2.9843066,3,A-497__580
0.011292939837499332,0.20956373569283068,0.5493981758426153,0.21754804987677184,0.012197098750282903,3,3.0098233,3,A-497__712
0.3394363495295105,0.5314702381153743,0.12504428279912613,0.0040332291428049095,1.5900413184134233e-05,2,1.7378496,2,A-497_2C__135
0.020777263068319982,0.27874139460279873,0.5377405032367544,0.15641916095100758,0.006321678141119281,3,2.8482575,3,A-5058__407
0.2502192669868243,0.5550905991572187,0.1859118670094675,0.008727253652465608,5.101319402389686e-05,2,1.9219624,2,A-495_1__60
0.17312080941593166,0.5475373676955952,0.2613331101142378,0.01785371809822363,0.00015499467601154173,2,2.108173,2,A-499__212
0.013002950138016807,0.22434843168007593,0.5490923962653343,0.20297622109875868,0.010580000817814243,3,2.9736996,3,A-5050__53
0.19328243473588283,0.5529950786381757,0.23891771907806528,0.014690653488049344,0.00011411405982686941,2,2.0556846,2,A-490__328
0.01407538298514952,0.23298334552958833,0.548317790685944,0.19488012917636852,0.009743351622949595,3,2.9530852,3,A-497_2C__24
0.009568241529867098,0.1931315159003082,0.5480904427565143,0.2348899903081246,0.01431980950518581,3,3.0514235,3,A-5053__363
0.01011099236223237,0.19848901281327508,0.5487188298134721,0.22909557045612622,0.013585594554894253,3,3.037674,3,A-497__395
0.2022127091762772,0.5545207932178754,0.229662744287279,0.013503694757075184,0.00010005856149319666,2,2.0334408,2,A-490__310
0.23250723617540767,0.5562337454449559,0.2009694666106481,0.010224506140448482,6.504562853997752e-05,2,1.9617053,2,A-499__202
0.0007413203458943004,0.0468738139320213,0.38946363333090894,0.47603696160206144,0.086884270789114,4,3.6065514,4,A-5052__403
0.1545031662301566,0.5396287609724936,0.2841284321921478,0.021531080153233503,0.00020856045196854684,2,2.1600025,2,A-490__325
0.2696919463093811,0.5522785484206589,0.17063745414148945,0.007352772743919407,3.9278384551198365e-05,2,1.8797652,2,A-497__284
0.2772303799635221,0.5507938337011553,0.1650552559192116,0.0068849845657192555,3.5545850391605406e-05,2,1.8637933,2,A-5053__284
0.014461093070308281,0.23598219092390244,0.5479512329537359,0.19213605574448314,0.009469427307570132,3,2.9460003,3,A-5058__313
0.00017508475992841525,0.01928495323115548,0.2705723255846877,0.5446063838158023,0.16536125260842605,4,3.8706622,4,A-492__210
0.1286292516071134,0.5229403035241846,0.31974367271040444,0.02836222383613689,0.0003245483221605545,2,2.2390711,2,A-5053__73
0.004871807334108582,0.13640414633125558,0.5267569477566724,0.3062112289971402,0.02575586958082335,3,3.2123375,3,A-5058__314
0.42020095881207586,0.4919050542664704,0.08587191283601008,0.0020163694130790836,5.7046723645701225e-06,2,1.5836394,2,A-490__184
0.21245604296598547,0.5556683222149003,0.21951279481927471,0.012276551668682889,8.628833115664343e-05,2,2.0085843,2,A-497__381
0.15439360680080516,0.5395729912195133,0.2842691238790923,0.021555343212635216,0.00020893488795397232,2,2.1603186,2,A-5053__354
0.005617719694287219,0.14706709823493389,0.5331491118106606,0.2912252032599164,0.02294086700020181,3,3.1794236,3,A-497__72
0.010877844095766554,0.20576136263748748,0.5492563081518967,0.22144919511167524,0.012655290003173955,3,3.019303,3,A-497__244
0.00021822952223858277,0.022152083348535002,0.2876932516812305,0.5381901253330281,0.15174631011496784,4,3.831999,4,A-497_2C__152
0.5285681437573555,0.4213242271086371,0.049348007735862884,0.000758241626656439,1.37977148807592e-06,1,1.379629,1,A-492__439
0.028838338011034345,0.3212353331278847,0.5194211934455035,0.12628711826517727,0.004218017150400134,3,2.7548902,3,A-497__511
0.3495350649748227,0.5273084927414822,0.11944241204660011,0.003700047247371668,1.3982989723408936e-05,2,1.7181548,2,A-5052__84
0.009488598797125712,0.19232968871493786,0.5479788711451566,0.23576935300571306,0.014433488337066746,3,3.053498,3,A-497_2C__47
0.2889126656742959,0.5480904078528784,0.1567449037940007,0.006221534325641044,3.0488353183891184e-05,2,1.8393956,2,A-5052__134
3.544573424162546e-05,0.006872197427760452,0.1648995903305053,0.5507487097270412,0.2774440567804514,4,4.1366568,4,A-497_2C__480
0.010379715214147017,0.20107553781611084,0.5489508376530275,0.2263476289143261,0.013246280402388509,3,3.0311027,3,A-5058__162
0.01780804226773553,0.2599730309432845,0.5433201781918421,0.17135236455240221,0.007546384044735697,3,2.890501,3,A-495_1__158
0.1344174573505364,0.5273349568223208,0.3113368258910745,0.026617823619514966,0.0002929363165533485,2,2.2205403,2,A-490__526
0.23941240916274345,0.5559596345779935,0.19495945113259888,0.009609378199246859,5.912692741721556e-05,2,1.9460415,2,A-492__172
0.008129560863415458,0.17796189434139054,0.5451645234317767,0.2520888235904533,0.01665519777296395,3,3.0914714,3,A-5052__500
0.016501233122349086,0.25100752309788626,0.5453934609569275,0.17888473008019856,0.008213052742638538,3,2.911016,3,A-492__115
3.240699776580013e-05,0.006477595502919466,0.1600104272723418,0.5492253680347711,0.2842542021922019,4,4.1509247,4,A-5050__24
0.17496312870658992,0.548161576723356,0.25919167087344913,0.017532996550873828,0.00015062714573101357,2,2.1032321,2,A-497_2C__637
0.01033551015941505,0.20065295049660753,0.5489160511017588,0.22679442195584687,0.013301066286371694,3,3.0321734,3,A-5053__378
0.18785342222552764,0.5518115075216925,0.24473939048049653,0.015471926669646379,0.00012375310263690762,2,2.0694923,2,A-499__145
0.7057955562310482,0.27853455303422225,0.015560556443497183,0.00010924583456529051,8.845666715349431e-08,1,1.0080469,1,A-497__413
0.05947512852758942,0.42330540923931426,0.44594923083618737,0.06981039653475964,0.0014598348621492174,3,2.5276666,3,A-5050__14
0.007223408667940448,0.1675609318529275,0.542094772741756,0.26460946775709604,0.01851141898027996,3,3.1200166,3,A-5050__167
0.22393517135702412,0.556249392368469,0.20869189798614862,0.011050218562805502,7.331972555272587e-05,2,1.9814794,2,A-5053__127
0.006258552920571851,0.15560564630364737,0.5373763626573873,0.27980408673712703,0.020955351381266394,3,3.1541102,3,A-5052__359
