epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,832,832,831,0,849,0,889,889,867,867
2,842,842,938,0,810,0,864,864,814,814
3,906,906,862,0,871,0,835,835,794,794
4,840,840,872,0,889,0,834,834,833,833
5,885,885,908,0,827,0,848,848,800,800
6,824,824,847,0,870,0,861,861,866,866
7,919,919,815,0,925,0,811,811,798,798
8,871,871,840,0,864,0,852,852,841,841
9,814,814,842,0,899,0,845,845,868,868
10,875,875,812,0,858,0,870,870,853,853
11,860,860,867,0,858,0,838,838,845,845
12,881,881,822,0,855,0,860,860,850,850
13,839,839,820,0,883,0,838,838,888,888
14,825,825,846,0,895,0,871,871,831,831
15,870,870,830,0,885,0,892,892,791,791
16,835,835,861,0,823,0,903,903,846,846
17,826,826,862,0,917,0,845,845,818,818
18,899,899,845,0,852,0,818,818,854,854
19,908,908,828,0,861,0,821,821,850,850
20,798,798,835,0,917,0,799,799,919,919
21,810,810,862,0,916,0,862,862,818,818
22,880,880,845,0,842,0,844,844,857,857
23,841,841,877,0,852,0,841,841,857,857
24,829,829,884,0,881,0,829,829,845,845
25,854,854,858,0,884,0,802,802,870,870
26,855,855,839,0,861,0,841,841,872,872
27,897,897,860,0,808,0,828,828,875,875
28,842,842,840,0,826,0,862,862,898,898
29,858,858,882,0,793,0,866,866,869,869
30,873,873,824,0,822,0,874,874,875,875
