epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,853,853,848,0,852,0,856,856,859,859
2,839,839,849,0,874,0,883,883,823,823
3,854,854,862,0,852,0,851,851,849,849
4,878,878,873,0,844,0,832,832,841,841
5,856,856,892,0,855,0,866,866,799,799
6,874,874,869,0,869,0,841,841,815,815
7,857,857,845,0,860,0,855,855,851,851
8,810,810,895,0,875,0,856,856,832,832
9,828,828,874,0,851,0,878,878,837,837
10,855,855,863,0,869,0,823,823,858,858
11,882,882,850,0,846,0,834,834,856,856
12,831,831,921,0,860,0,828,828,828,828
13,837,837,883,0,839,0,848,848,861,861
14,889,889,829,0,813,0,867,867,870,870
15,907,907,850,0,823,0,848,848,840,840
16,861,861,836,0,824,0,838,838,909,909
17,845,845,838,0,850,0,844,844,891,891
18,847,847,869,0,875,0,829,829,848,848
19,841,841,848,0,834,0,877,877,868,868
20,867,867,885,0,831,0,847,847,838,838
21,813,813,924,0,794,0,851,851,886,886
22,831,831,850,0,858,0,852,852,877,877
23,865,865,789,0,861,0,884,884,869,869
24,826,826,869,0,829,0,872,872,872,872
25,854,854,821,0,866,0,810,810,917,917
26,851,851,864,0,833,0,868,868,852,852
27,847,847,864,0,875,0,837,837,845,845
28,873,873,847,0,897,0,845,845,806,806
29,852,852,842,0,869,0,843,843,862,862
30,817,817,872,0,933,0,828,828,818,818
