epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,875,875,875,0,868,0,818,818,832,832
2,871,871,898,0,836,0,854,854,809,809
3,874,874,873,0,820,0,871,871,830,830
4,834,834,870,0,871,0,817,817,876,876
5,838,838,884,0,813,0,858,858,875,875
6,892,892,833,0,818,0,838,838,887,887
7,847,847,836,0,829,0,909,909,847,847
8,818,818,849,0,842,0,861,861,898,898
9,842,842,828,0,871,0,850,850,877,877
10,866,866,873,0,859,0,839,839,831,831
11,784,784,860,0,843,0,887,887,894,894
12,841,841,857,0,893,0,863,863,814,814
13,882,882,833,0,851,0,838,838,864,864
14,836,836,842,0,856,0,867,867,867,867
15,892,892,837,0,827,0,866,866,846,846
16,853,853,845,0,790,0,889,889,891,891
17,876,876,872,0,853,0,829,829,838,838
18,860,860,828,0,860,0,859,859,861,861
19,871,871,848,0,857,0,863,863,829,829
20,863,863,858,0,865,0,845,845,837,837
21,826,826,850,0,837,0,848,848,907,907
22,874,874,821,0,847,0,825,825,901,901
23,868,868,806,0,877,0,876,876,841,841
24,893,893,775,0,889,0,868,868,843,843
25,808,808,827,0,913,0,857,857,863,863
26,828,828,877,0,900,0,857,857,806,806
27,857,857,838,0,879,0,812,812,882,882
28,869,869,877,0,851,0,825,825,846,846
29,895,895,850,0,831,0,838,838,854,854
30,840,840,885,0,850,0,833,833,860,860
