epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,914,914,851,0,828,0,801,801,874,874
2,827,827,884,0,807,0,876,876,874,874
3,829,829,838,0,833,0,885,885,883,883
4,836,836,863,0,867,0,833,833,869,869
5,851,851,870,0,811,0,875,875,861,861
6,866,866,834,0,838,0,853,853,877,877
7,868,868,855,0,804,0,885,885,856,856
8,811,811,880,0,858,0,853,853,866,866
9,850,850,822,0,847,0,893,893,856,856
10,884,884,862,0,814,0,848,848,860,860
11,889,889,855,0,851,0,854,854,819,819
12,882,882,913,0,804,0,815,815,854,854
13,867,867,854,0,853,0,824,824,870,870
14,870,870,815,0,875,0,859,859,849,849
15,853,853,865,0,854,0,848,848,848,848
16,828,828,870,0,859,0,847,847,864,864
17,887,887,827,0,856,0,850,850,848,848
18,871,871,842,0,887,0,850,850,818,818
19,884,884,798,0,861,0,861,861,864,864
20,840,840,843,0,851,0,864,864,870,870
21,893,893,848,0,837,0,828,828,862,862
22,882,882,811,0,865,0,880,880,830,830
23,858,858,894,0,834,0,846,846,836,836
24,794,794,902,0,882,0,875,875,815,815
25,865,865,832,0,807,0,863,863,901,901
26,865,865,867,0,827,0,882,882,827,827
27,831,831,873,0,813,0,897,897,854,854
28,837,837,848,0,854,0,866,866,863,863
29,850,850,827,0,903,0,828,828,860,860
30,861,861,857,0,869,0,850,850,831,831
