epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,836,836,852,0,828,0,880,880,872,872
2,833,833,859,0,902,0,759,759,915,915
3,848,848,874,0,884,0,827,827,835,835
4,840,840,869,0,835,0,856,856,868,868
5,872,872,895,0,841,0,806,806,854,854
6,818,818,814,0,869,0,889,889,878,878
7,875,875,827,0,848,0,831,831,887,887
8,859,859,828,0,874,0,870,870,837,837
9,858,858,855,0,894,0,822,822,839,839
10,822,822,895,0,872,0,836,836,843,843
11,856,856,869,0,861,0,818,818,864,864
12,858,858,868,0,824,0,822,822,896,896
13,866,866,854,0,842,0,800,800,906,906
14,836,836,905,0,826,0,881,881,820,820
15,833,833,854,0,922,0,842,842,817,817
16,894,894,837,0,849,0,827,827,861,861
17,844,844,872,0,845,0,897,897,810,810
18,839,839,847,0,890,0,867,867,825,825
19,838,838,891,0,838,0,874,874,827,827
20,897,897,858,0,817,0,845,845,851,851
21,889,889,851,0,810,0,885,885,833,833
22,878,878,809,0,845,0,873,873,863,863
23,857,857,824,0,864,0,890,890,833,833
24,807,807,922,0,856,0,856,856,827,827
25,846,846,898,0,800,0,852,852,872,872
26,860,860,806,0,853,0,904,904,845,845
27,883,883,874,0,865,0,824,824,822,822
28,854,854,875,0,883,0,845,845,811,811
29,859,859,864,0,855,0,816,816,874,874
30,837,837,878,0,836,0,878,878,839,839
