epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,864,864,843,0,884,0,844,844,833,833
2,896,896,861,0,879,0,830,830,802,802
3,825,825,893,0,878,0,831,831,841,841
4,842,842,830,0,859,0,867,867,870,870
5,870,870,898,0,781,0,855,855,864,864
6,878,878,838,0,846,0,814,814,892,892
7,858,858,901,0,845,0,809,809,855,855
8,825,825,844,0,857,0,899,899,843,843
9,828,828,885,0,822,0,844,844,889,889
10,882,882,884,0,822,0,827,827,853,853
11,870,870,809,0,905,0,809,809,875,875
12,879,879,826,0,840,0,850,850,873,873
13,867,867,822,0,858,0,869,869,852,852
14,861,861,860,0,781,0,899,899,867,867
15,895,895,873,0,845,0,828,828,827,827
16,829,829,899,0,868,0,865,865,807,807
17,846,846,833,0,856,0,885,885,848,848
18,855,855,833,0,867,0,831,831,882,882
19,808,808,887,0,870,0,827,827,876,876
20,857,857,901,0,836,0,816,816,858,858
21,874,874,840,0,902,0,830,830,822,822
22,860,860,886,0,835,0,858,858,829,829
23,894,894,819,0,880,0,801,801,874,874
24,817,817,865,0,870,0,857,857,859,859
25,875,875,838,0,841,0,874,874,840,840
26,867,867,807,0,833,0,866,866,895,895
27,872,872,874,0,879,0,829,829,814,814
28,855,855,823,0,848,0,850,850,892,892
29,824,824,840,0,834,0,886,886,884,884
30,827,827,871,0,849,0,903,903,818,818
31,874,874,826,0,815,0,859,859,894,894
32,885,885,829,0,895,0,851,851,808,808
33,876,876,827,0,845,0,885,885,835,835
34,879,879,822,0,874,0,849,849,844,844
35,910,910,841,0,848,0,851,851,818,818
36,852,852,873,0,852,0,836,836,855,855
37,820,820,871,0,899,0,816,816,862,862
38,851,851,861,0,856,0,845,845,855,855
39,897,897,825,0,862,0,857,857,827,827
40,847,847,871,0,824,0,867,867,859,859
41,867,867,838,0,884,0,846,846,833,833
42,884,884,867,0,854,0,856,856,807,807
43,834,834,803,0,875,0,892,892,864,864
44,890,890,866,0,857,0,839,839,816,816
45,826,826,851,0,839,0,881,881,871,871
46,903,903,828,0,864,0,830,830,843,843
47,869,869,812,0,887,0,854,854,846,846
48,842,842,859,0,850,0,847,847,870,870
49,858,858,856,0,871,0,845,845,838,838
50,825,825,841,0,814,0,902,902,886,886
51,855,855,839,0,877,0,898,898,799,799
52,841,841,846,0,847,0,854,854,880,880
53,825,825,869,0,845,0,819,819,910,910
54,855,855,839,0,863,0,892,892,819,819
55,826,826,834,0,830,0,877,877,901,901
56,859,859,876,0,846,0,881,881,806,806
57,850,850,902,0,834,0,845,845,837,837
58,864,864,850,0,875,0,863,863,816,816
59,872,872,864,0,832,0,836,836,864,864
60,808,808,877,0,866,0,876,876,841,841
61,875,875,857,0,841,0,888,888,807,807
62,868,868,838,0,896,0,811,811,855,855
63,861,861,821,0,867,0,843,843,876,876
64,854,854,863,0,848,0,815,815,888,888
65,834,834,853,0,870,0,874,874,837,837
66,842,842,824,0,857,0,861,861,884,884
67,886,886,804,0,876,0,872,872,830,830
68,846,846,848,0,858,0,879,879,837,837
69,859,859,858,0,855,0,834,834,862,862
70,908,908,847,0,836,0,796,796,881,881
71,859,859,842,0,891,0,866,866,810,810
72,857,857,858,0,832,0,828,828,893,893
73,882,882,875,0,864,0,863,863,784,784
74,840,840,880,0,838,0,853,853,857,857
75,807,807,962,0,844,0,851,851,804,804
76,877,877,827,0,872,0,814,814,878,878
77,860,860,861,0,868,0,846,846,833,833
78,895,895,865,0,830,0,834,834,844,844
79,825,825,841,0,871,0,856,856,875,875
80,846,846,839,0,881,0,846,846,856,856
81,862,862,834,0,859,0,793,793,920,920
82,859,859,870,0,847,0,837,837,855,855
83,859,859,851,0,819,0,866,866,873,873
84,853,853,879,0,813,0,857,857,866,866
85,832,832,847,0,879,0,858,858,852,852
86,833,833,819,0,847,0,882,882,887,887
87,807,807,913,0,839,0,875,875,834,834
88,816,816,843,0,866,0,867,867,876,876
89,881,881,844,0,822,0,892,892,829,829
90,888,888,827,0,814,0,834,834,905,905
91,849,849,857,0,865,0,878,878,819,819
92,893,893,861,0,844,0,831,831,839,839
93,852,852,868,0,866,0,821,821,861,861
94,795,795,833,0,893,0,875,875,872,872
95,805,805,903,0,861,0,838,838,861,861
96,828,828,860,0,896,0,822,822,862,862
97,860,860,844,0,842,0,837,837,885,885
98,831,831,867,0,879,0,829,829,862,862
99,821,821,884,0,868,0,841,841,854,854
100,911,911,844,0,843,0,823,823,847,847
