epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,875,875,910,0,849,0,830,830,804,804
2,861,861,913,0,853,0,817,817,824,824
3,905,905,837,0,842,0,867,867,817,817
4,852,852,828,0,868,0,832,832,888,888
5,829,829,840,0,854,0,874,874,871,871
6,839,839,830,0,862,0,887,887,850,850
7,845,845,834,0,911,0,831,831,847,847
8,858,858,862,0,830,0,873,873,845,845
9,828,828,869,0,831,0,886,886,854,854
10,874,874,823,0,875,0,809,809,887,887
11,863,863,809,0,909,0,858,858,829,829
12,812,812,860,0,826,0,873,873,897,897
13,845,845,878,0,852,0,798,798,895,895
14,840,840,844,0,875,0,900,900,809,809
15,857,857,844,0,818,0,894,894,855,855
16,867,867,885,0,863,0,850,850,803,803
17,867,867,899,0,841,0,842,842,819,819
18,870,870,813,0,851,0,840,840,894,894
19,888,888,849,0,905,0,817,817,809,809
20,858,858,806,0,868,0,868,868,868,868
21,880,880,855,0,834,0,854,854,845,845
22,887,887,860,0,848,0,843,843,830,830
23,858,858,856,0,893,0,855,855,806,806
24,832,832,845,0,876,0,896,896,819,819
25,876,876,871,0,833,0,829,829,859,859
26,867,867,870,0,858,0,834,834,839,839
27,896,896,848,0,804,0,894,894,826,826
28,825,825,871,0,844,0,873,873,855,855
29,884,884,932,0,807,0,846,846,799,799
30,874,874,866,0,822,0,841,841,865,865
