epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,835,835,843,0,808,0,905,905,877,877
2,814,814,859,0,873,0,854,854,868,868
3,838,838,844,0,859,0,872,872,855,855
4,832,832,871,0,836,0,875,875,854,854
5,847,847,815,0,864,0,845,845,897,897
6,824,824,867,0,873,0,853,853,851,851
7,791,791,839,0,879,0,851,851,908,908
8,815,815,878,0,857,0,866,866,852,852
9,872,872,886,0,821,0,861,861,828,828
10,845,845,861,0,846,0,838,838,878,878
11,827,827,891,0,850,0,850,850,850,850
12,838,838,847,0,856,0,874,874,853,853
13,855,855,880,0,870,0,844,844,819,819
14,856,856,851,0,860,0,816,816,885,885
15,861,861,878,0,830,0,857,857,842,842
16,880,880,825,0,863,0,842,842,858,858
17,858,858,903,0,813,0,872,872,822,822
18,863,863,837,0,871,0,841,841,856,856
19,790,790,831,0,878,0,856,856,913,913
20,818,818,836,0,879,0,862,862,873,873
21,897,897,856,0,867,0,821,821,827,827
22,815,815,856,0,834,0,901,901,862,862
23,862,862,850,0,892,0,824,824,840,840
24,829,829,863,0,852,0,876,876,848,848
25,849,849,879,0,816,0,866,866,858,858
26,825,825,828,0,862,0,868,868,885,885
27,841,841,848,0,838,0,874,874,867,867
28,856,856,890,0,887,0,835,835,800,800
29,841,841,856,0,897,0,801,801,873,873
30,819,819,818,0,874,0,879,879,878,878
