epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,872,872,814,0,837,0,864,864,881,881
2,831,831,832,0,903,0,858,858,844,844
3,861,861,818,0,874,0,841,841,874,874
4,889,889,893,0,838,0,834,834,814,814
5,845,845,880,0,830,0,827,827,886,886
6,880,880,789,0,878,0,837,837,884,884
7,863,863,838,0,858,0,841,841,868,868
8,854,854,850,0,856,0,871,871,837,837
9,849,849,857,0,865,0,849,849,848,848
10,885,885,830,0,862,0,848,848,843,843
11,839,839,850,0,832,0,883,883,864,864
12,853,853,884,0,830,0,822,822,879,879
13,835,835,819,0,870,0,870,870,874,874
14,872,872,858,0,832,0,828,828,878,878
15,863,863,862,0,838,0,807,807,898,898
16,858,858,849,0,831,0,822,822,908,908
17,840,840,893,0,911,0,802,802,822,822
18,834,834,860,0,836,0,872,872,866,866
19,833,833,888,0,836,0,854,854,857,857
20,829,829,895,0,848,0,841,841,855,855
21,827,827,843,0,880,0,861,861,857,857
22,875,875,852,0,821,0,908,908,812,812
23,881,881,847,0,804,0,847,847,889,889
24,839,839,839,0,862,0,900,900,828,828
25,840,840,820,0,860,0,849,849,899,899
26,874,874,878,0,809,0,840,840,867,867
27,837,837,858,0,871,0,849,849,853,853
28,856,856,867,0,837,0,887,887,821,821
29,856,856,801,0,931,0,877,877,803,803
30,842,842,824,0,897,0,875,875,830,830
